index,polarity,subjectivity,timestamp,speaker,speaker_name,text,applause,laughter,interaction,attack,attack_target,agree,agree_target,interruption,interrupt_target,defense,defense_against,reference,mentions,noun_phrases,people,locations,topic,autotopic,first_mention
0,0.5833333333333334,0.611111111111111,0:00:00,moderator,Lester Holt," Good evening everyone. I'm Lester Holt, and welcome to the first Democratic debate in the 2020 race for president.
",False,False,False,False,[],False,[],False,,False,,False,[],"['good evening', 'lester holt', 'democratic debate']",[],[],,['misc'],[]
1,0.25,0.3333333333333333,0:00:08,moderator,Savannah Guthrie," Hi, I'm Savannah Guthrie, and tonight it's our first chance to see these candidates go head-to-head on stage together. We'll be joined in our questioning tonight by our colleagues, José Diaz-Balart, Chuck Todd, and Rachel Maddow.
",False,False,False,False,[],False,[],False,,False,,False,[],"['hi', 'savannah guthrie', 'josé diaz-balart', 'chuck todd', 'rachel maddow']",[],[],,['misc'],[]
2,-0.15555555555555559,0.2888888888888889,0:00:19,moderator,Lester Holt," Voters will try to nail down where the candidates stand in the issues, what sets them apart, and which of these presidential hopefuls has what it takes?
",False,False,False,False,[],False,[],False,,False,,False,[],"['candidates stand', 'presidential hopefuls']",[],[],,['misc'],[]
3,0.0,0.0,0:00:27,moderator,Savannah Guthrie," Well now, it's time to find out.
",False,False,False,False,[],False,[],False,,False,,False,[],"[""'s time""]",[],[],,['misc'],[]
4,0.01363636363636363,0.23863636363636365,0:00:29,moderator,Speaker 3," Tonight, round one. New Jersey senator, Cory Booker; former housing secretary, Julián Castro; New York City mayor, Bill de Blasio; former Maryland Congressman, John Delaney; Hawaii congresswoman, Tulsi Gabbard; Washington governor, Jay Inslee; Minnesota senator, Amy Klobuchar; former Texas congressman Beto O'Rourke; Ohio congressman Tim Ryan; and Massachusetts Senator, Elizabeth Warren. From NBC News, Decision 2020 The Democratic Candidates' Debate. Live from the Adrienne Arsht Performing Arts Center in Miami, Florida.
",False,False,False,False,[],False,[],False,,False,,True,"['warren', 'gabbard', 'klobuchar', 'orourke', 'hickenlooper', 'booker', 'delaney', 'inslee', 'castro', 'ryan', 'deblasio']","['jersey', 'cory booker', 'julián castro', 'york', 'city mayor', 'bill', 'blasio', 'maryland', 'john delaney', 'hawaii', 'tulsi gabbard', 'washington', 'jay inslee', 'minnesota', 'amy klobuchar', 'texas', ""beto o'rourke"", 'ohio', 'tim ryan', 'massachusetts', 'elizabeth warren', 'nbc news', 'decision', 'candidates', 'live', 'adrienne arsht performing', 'miami', 'florida']",[],[],,['misc'],[]
5,0.0,0.0,,moderator,Speaker 3,"[applause]
",True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],,['misc'],[]
6,0.48,0.52,0:01:21,moderator,Lester Holt," And good evening again every one. Welcome to the candidates and to our audience here in Miami here in the Arts Center and all across the country. Tonight we're gonna take on many of the most pressing issues of the moment, including immigration, the situation unfolding at our border, and the treatment of migrant children.
",False,False,False,False,[],False,[],False,,False,,False,[],"['good evening', 'welcome', 'miami', ""'re gon na"", 'pressing issues', 'migrant children']",[],[],,['immigration'],['immigration']
7,0.5,0.5,0:01:38,moderator,Savannah Guthrie," And we're gonna talk about the tensions with Iran, climate change, and of course, we'll talk about the economy, those kitchen table issues so many Americans face every day.
",False,False,False,False,[],False,[],False,,False,,False,[],"[""'re gon na talk"", 'iran', ""'ll talk"", 'kitchen table issues']",[],[],,"['climate-change', 'economic-inequality']","['climate-change', 'economic-inequality']"
8,0.14583333333333331,0.4583333333333333,0:01:46,moderator,José Diaz Balart," And some quick rules of the road before we begin, 20 candidates qualified for this first debate, we'll hear from 10 tonight and 10 more tomorrow. The breakdown for each was selected at random. The candidates will have 60 seconds to answer and 30 seconds for any follow-ups.
",False,False,False,False,[],False,[],False,,False,,False,[],['quick rules'],[],[],,['misc'],[]
9,0.14285714285714285,0.4884920634920634,0:02:03,moderator,Lester Holt," Because of this large field, not every person will be able to comment on every topic. But over the course of the next two hours, we will hear from everyone. We'd also like to ask the audience to keep the reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight.
",False,False,False,False,[],False,[],False,,False,,False,[],['large field'],[],[],,['misc'],[]
10,0.4928571428571428,0.5678571428571428,0:02:20,moderator,Savannah Guthrie," All right, so with that business out of the way, we wanna get to it. And we'll start this evening with Senator Elizabeth Warren. Senator, good evening to you.
",False,False,False,False,[],False,[],False,,False,,True,['warren'],"['wan na', 'elizabeth warren', 'good evening']",[],[],,['misc'],[]
11,0.7,0.6000000000000001,0:02:27,warren,Elizabeth Warren," Thank you. Good to be here.
",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],,['misc'],[]
