index,speaker,speaker_name,topic,text
1,moderator,MODERATOR,misc," Good evening from the Thomas and Mack Center at the University of Nevada, Las Vegas."
2,moderator,,"h-clinton, trump","I’m Chris Wallace of Fox News, and I welcome you to the third and final of the 2016 presidential debates between Secretary of State Hillary Clinton and Donald J."
3,moderator,,election, This debate is sponsored by the Commission on Presidential Debates.
4,moderator,,misc,"The commission has designed the format: Six roughly 15-minute segments with two-minute answers to the first question, then open discussion for the rest of each segment."
5,moderator,,election,Both campaigns have agreed to those rules.
6,moderator,,question,"For the record, I decided the topics and the questions in each topic."
7,moderator,,question,None of those questions has been shared with the commission or the two candidates.
8,moderator,,misc,The audience here in the hall has promised to remain silent.
9,moderator,,misc,"No cheers, boos, or other interruptions so we and you can focus on what the candidates have to say."
10,moderator,,"h-clinton, trump"," No noise, except right now, as we welcome the Democratic nominee for president, Secretary Clinton, and the Republican nominee for president, Mr. Trump."
11,moderator,,"h-clinton, trump","(APPLAUSE)  Secretary Clinton, Mr. Trump, welcome."
12,moderator,,misc,Let’s get right to it.
13,moderator,,supreme-court,The first topic is the Supreme Court.
14,moderator,,"supreme-court, election","You both talked briefly about the court in the last debate, but I want to drill down on this, because the next president will almost certainly have at least one appointment and likely or possibly two or three appointments."
15,moderator,,supreme-court," Which means that you will, in effect, determine the balance of the court for what could be the next quarter century."
16,moderator,,"question, supreme-court, america","First of all, where do you want to see the court take the country?"
17,moderator,,"question, supreme-court","And secondly, what’s your view on how the Constitution should be interpreted?"
18,moderator,,"question, past",Do the founders’ words mean what they say or is it a living document to be applied flexibly according to changing circumstances?
19,moderator,,h-clinton,"In this segment, Secretary Clinton, you go first."
20,moderator,,misc,You have two minutes.
21,clinton,,misc," Thank you very much, Chris."
22,clinton,,misc,And thanks to UNLV for hosting us.
23,clinton,,"supreme-court, election, america","You know, I think when we talk about the Supreme Court, it really raises the central issue in this election, namely, what kind of country are we going to be?"
24,clinton,,america,What kind of opportunities will we provide for our citizens?
25,clinton,,america,What kind of rights will Americans have?
26,clinton,,"supreme-court, america","And I feel strongly that the Supreme Court needs to stand on the side of the American people, not on the side of the powerful corporations and the wealthy."
27,clinton,,"supreme-court, women, diversity","For me, that means that we need a Supreme Court that will stand up on behalf of women's rights, on behalf of the rights of the LGBT community, that will stand up and say no to Citizens United, a decision that has undermined the election system in our country because of the way it permits dark, unaccountable money to come into our electoral system."
28,clinton,,"trump, supreme-court",I have major disagreements with my opponent about these issues and others that will be before the Supreme Court.
29,clinton,,equality,"But I feel that at this point in our country's history, it is important that we not reverse marriage equality, that we not reverse Roe v."
30,clinton,,"america, past, equality","Wade, that we stand up against Citizens United, we stand up for the rights of people in the workplace, that we stand up and basically say: The Supreme Court should represent all of us."
31,clinton,,"supreme-court, america","That's how I see the court, and the kind of people that I would be looking to nominate to the court would be in the great tradition of standing up to the powerful, standing up on behalf of our rights as Americans."
32,clinton,,future,And I look forward to having that opportunity.
33,clinton,,"obama, supreme-court",I would hope that the Senate would do its job and confirm the nominee that President Obama has sent to them.
34,clinton,,misc,That's the way the Constitution fundamentally should operate.
35,clinton,,misc,"The president nominates, and then the Senate advises and consents, or not, but they go forward with the process."
36,moderator,,h-clinton," Secretary Clinton, thank you."
37,moderator,,trump," Mr. Trump, same question."
38,moderator,,"question, supreme-court, america",Where do you want to see the court take the country?
39,moderator,,"question, supreme-court",And how do you believe the Constitution should be interpreted?
40,trump,,misc," Well, first of all, its great to be with you, and thank you, everybody."
41,trump,,supreme-court,The Supreme Court: It’s what it’s all about.
42,trump,,"america, supreme-court","Our country is so, so it’s just so imperative that we have the right justices."
43,trump,,"supreme-court, trump","Something happened recently where Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent."
44,trump,,misc,And she was forced to apologize.
45,trump,,misc,And apologize she did.
46,trump,,misc,"But these were statements that should never, ever have been made."
47,trump,,"supreme-court, guns","We need a Supreme Court that in my opinion is going to uphold the Second Amendment, and all amendments, but the Second Amendment, which is under absolute siege."
48,trump,,"h-clinton, guns","I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now."
49,trump,,guns,"But I feel that it's absolutely important that we uphold, because of the fact that it is under such trauma."
50,trump,,"supreme-court, safety",I feel that the justices that I am going to appoint and I've named 20 of them the justices that I'm going to appoint will be pro-life.
51,trump,,supreme-court,They will have a conservative bent.
52,trump,,"guns, supreme-court",They will be protecting the Second Amendment.
53,trump,,supreme-court,"They are great scholars in all cases, and theyre people of tremendous respect."
54,trump,,past,They will interpret the Constitution the way the founders wanted it interpreted.
55,trump,,past,"And I believe that’s very, very important."
56,trump,,supreme-court,I don’t think we should have justices appointed that decide what they want to hear.
57,trump,,past,"It’s all about the Constitution of of and so important, the Constitution the way it was meant to be."
58,trump,,supreme-court,And those are the people that I will appoint.
59,moderator,,misc," Mr. Trump, thank you."
60,moderator,,misc,We now have about 10 minutes for an open discussion.
61,moderator,,supreme-court,"I want to focus on two issues that, in fact, by the justices that you name could end up changing the existing law of the land."
62,moderator,,"guns, trump","First is one that you mentioned, Mr. Trump, and that is guns."
63,moderator,,"h-clinton, guns","Secretary Clinton, you said last year, let me quote, The Supreme Court is wrong on the Second Amendment."
64,moderator,,"supreme-court, guns, safety","And now, in fact, in the 2008 Heller case, the court ruled that there is a constitutional right to bear arms, but a right that is reasonably limited."
65,moderator,,supreme-court,Those were the words of the Judge Antonin Scalia who wrote the decision.
66,moderator,,question,What’s wrong with that?
67,clinton,,guns," Well, first of all, I support the Second Amendment."
68,clinton,,past,I lived in Arkansas for 18 wonderful years.
69,clinton,,past,I represented upstate New York.
70,clinton,,guns,I understand and respect the tradition of gun ownership.
71,clinton,,america,It goes back to the founding of our country.
72,clinton,,"guns, safety",But I also believe that there can be and must be reasonable regulation.
73,clinton,,"guns, safety","Because I support the Second Amendment doesn't mean that I want people who shouldn't have guns to be able to threaten you, kill you or members of your family."
74,clinton,,"guns, safety","And so when I think about what we need to do, we have 33,000 people a year who die from guns."
75,clinton,,guns,"I think we need comprehensive background checks, need to close the online loophole, close the gun show loophole."
76,clinton,,guns,There's other matters that I think are sensible that are the kind of reforms that would make a difference that are not in any way conflicting with the Second Amendment.
77,clinton,,"supreme-court, guns",You mentioned the Heller decision.
78,clinton,,"children, safety, guns","And what I was saying that you referenced, Chris, was that I disagreed with the way the court applied the Second Amendment in that case, because what the District of Columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them."
79,clinton,,supreme-court,"And the court didn't accept that reasonable regulation, but they've accepted many others."
80,clinton,,"safety, guns",So I see no conflict between saving people's lives and defending the Second Amendment.
81,moderator,,trump, Let me bring Mr. Trump in here.
82,moderator,,"question, guns","The bipartisan  Open Debate Coalition got millions of votes on questions to ask here, and this was, in fact, one of the top questions that they got."
83,moderator,,"question, guns",How will you ensure the Second Amendment is protected?
84,moderator,,h-clinton,You just heard Secretary Clinton's answer.
85,moderator,,"question, guns","Does she persuade you that, while you may disagree on regulation, that, in fact, she supports a Second Amendment right to bear arms?"
86,trump,,h-clinton,Heller decision was very strongly and she was extremely angry about it.
87,trump,,h-clinton,"I mean, she was very, very angry when upheld."
88,trump,,supreme-court,And Justice Scalia was so involved.
